"MCOEV (4828c8ec-dc2e-4779-b502-87ac9ce28ab7)
TEAMS1 (57ff2da0-773e-42df-b2af-ffb7a2317929)
MCOSTANDARD (0feaeb32-d00e-4d66-bd5a-43b5b83db82c)","MICROSOFT 365 PHONE SYSTEM (4828c8ec-dc2e-4779-b502-87ac9ce28ab7)
MICROSOFT TEAMS (57ff2da0-773e-42df-b2af-ffb7a2317929)
SKYPE FOR BUSINESS ONLINE (PLAN 2) (0feaeb32-d00e-4d66-bd5a-43b5b83db82c)"
"MCOEV_GOV (db23fce2-a974-42ef-9002-d78dd42a0f22)
TEAMS_GOV (304767db-7d23-49e8-a945-4a7eb65f9f28)
MCOSTANDARD_GOV (a31ef4a2-f787-435e-8335-e47eb0cafc94)","Microsoft 365 Phone System for Government (db23fce2-a974-42ef-9002-d78dd42a0f22)
Microsoft Teams for Government (304767db-7d23-49e8-a945-4a7eb65f9f28)
Skype for Business Online (Plan 2) for Government (a31ef4a2-f787-435e-8335-e47eb0cafc94)"
"CDS_DB_CAPACITY (360bcc37-0c11-4264-8eed-9fa7a3297c9b)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)","Common Data Service for Apps Database Capacity (360bcc37-0c11-4264-8eed-9fa7a3297c9b)
Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)"
"CDS_DB_CAPACITY_GOV (1ddffef6-4f69-455e-89c7-d5d72105f915)
EXCHANGE_S_FOUNDATION_GOV (922ba911-5694-4e99-a794-73aed9bfeec8)","Common Data Service for Apps Database Capacity for Government (1ddffef6-4f69-455e-89c7-d5d72105f915)
Exchange Foundation for Government (922ba911-5694-4e99-a794-73aed9bfeec8)"
"CDS_LOG_CAPACITY (dc48f5c5-e87d-43d6-b884-7ac4a59e7ee9)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)","Common Data Service for Apps Log Capacity (dc48f5c5-e87d-43d6-b884-7ac4a59e7ee9)
Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)"
MCOPSTNC (505e180f-f7e0-4b65-91d4-00d670bbd18c),COMMUNICATIONS CREDITS (505e180f-f7e0-4b65-91d4-00d670bbd18c)
COMPLIANCE_MANAGER_PREMIUM_ASSESSMENT_ADDON (3a117d30-cfac-4f00-84ac-54f8b6a18d78),Compliance Manager Premium Assessment Add-On (3a117d30-cfac-4f00-84ac-54f8b6a18d78)
"EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)
CRMSTORAGE (77866113-0f3e-4e6e-9666-b1e25c6f99b0)","Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)
Microsoft Dynamics CRM Online Storage Add-On (77866113-0f3e-4e6e-9666-b1e25c6f99b0)"
"EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)
CRMINSTANCE (eeea837a-c885-4167-b3d5-ddde30cbd85f)","Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)
Microsoft Dynamics CRM Online Instance (eeea837a-c885-4167-b3d5-ddde30cbd85f)"
"EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)
CRMTESTINSTANCE (a98b7619-66c7-4885-bdfc-1d9c8c3d279f)","Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)
Microsoft Dynamics CRM Online Additional Test Instance (a98b7619-66c7-4885-bdfc-1d9c8c3d279f)"
"SOCIAL_ENGAGEMENT_APP_USER (339f4def-5ad8-4430-8d12-da5fd4c769a7)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)","Dynamics 365 AI for Market Insights – Free (339f4def-5ad8-4430-8d12-da5fd4c769a7)
Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)"
"D365_AssetforSCM (90467813-5b40-40d4-835c-abd48009b1d9)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)","Asset Maintenance Add-in (90467813-5b40-40d4-835c-abd48009b1d9)
Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)"
DYN365_BUSCENTRAL_ENVIRONMENT (d397d6c6-9664-4502-b71c-66f39c400ca4),Dynamics 365 Business Central Additional Environment Addon (d397d6c6-9664-4502-b71c-66f39c400ca4)
"DYN365_BUSCENTRAL_DB_CAPACITY (ae6b27b3-fe31-4e77-ae06-ec5fabbc103a)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)","Dynamics 365 Business Central Database Capacity (ae6b27b3-fe31-4e77-ae06-ec5fabbc103a)
Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)"
"DYN365_FINANCIALS_BUSINESS (920656a2-7dd8-4c83-97b6-a356414dbd36)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)
FLOW_DYN_APPS (7e6d7d78-73de-46ba-83b1-6d25117334ba)
POWERAPPS_DYN_APPS (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)","Dynamics 365 for Business Central Essentials (920656a2-7dd8-4c83-97b6-a356414dbd36)
Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)
Flow for Dynamics 365 (7e6d7d78-73de-46ba-83b1-6d25117334ba)
PowerApps for Dynamics 365 (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)"
"DYN365_FINANCIALS_ACCOUNTANT (170991d7-b98e-41c5-83d4-db2052e1795f)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)
FLOW_DYN_APPS (7e6d7d78-73de-46ba-83b1-6d25117334ba)
POWERAPPS_DYN_APPS (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)","Dynamics 365 Business Central External Accountant (170991d7-b98e-41c5-83d4-db2052e1795f)
Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)
Flow for Dynamics 365 (7e6d7d78-73de-46ba-83b1-6d25117334ba)
PowerApps for Dynamics 365 (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)"
"PROJECT_MADEIRA_PREVIEW_IW (3f2afeed-6fb5-4bf9-998f-f2912133aead)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)","Dynamics 365 Business Central for IWs (3f2afeed-6fb5-4bf9-998f-f2912133aead)
Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)"
"DYN365_BUSCENTRAL_PREMIUM (8e9002c0-a1d8-4465-b952-817d2948e6e2)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)
FLOW_DYN_APPS (7e6d7d78-73de-46ba-83b1-6d25117334ba)
POWERAPPS_DYN_APPS (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)","Dynamics 365 Business Central Premium (8e9002c0-a1d8-4465-b952-817d2948e6e2)
Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)
Flow for Dynamics 365 (7e6d7d78-73de-46ba-83b1-6d25117334ba)
PowerApps for Dynamics 365 (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)"
"D365_CSI_EMBED_CE (1412cdc1-d593-4ad1-9050-40c30ad0b023)
DYN365_ENTERPRISE_P1 (d56f3deb-50d8-465a-bedb-f079817ccac1)
D365_ProjectOperations (69f07c66-bee4-4222-b051-195095efee5b)
D365_ProjectOperationsCDS (18fa3aba-b085-4105-87d7-55617b8585e6)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)
FLOW_DYN_P2 (b650d915-9886-424b-a08d-633cede56f57)
FLOW_DYN_APPS (7e6d7d78-73de-46ba-83b1-6d25117334ba)
Forms_Pro_CE (97f29a83-1a20-44ff-bf48-5e4ad11f3e51)
NBENTERPRISE (03acaee3-9492-4f40-aed4-bcb6b32981b6)
SHAREPOINTWAC (e95bec33-7c88-4a70-8e19-b10bd9d0c014)
POWERAPPS_DYN_P2 (0b03f40b-c404-40c3-8651-2aceb74365fa)
PROJECT_FOR_PROJECT_OPERATIONS (0a05d977-a21a-45b2-91ce-61c240dbafa2)
PROJECT_CLIENT_SUBSCRIPTION (fafd7243-e5c1-4a3a-9e40-495efcb1d3c3)
SHAREPOINT_PROJECT (fe71d6c3-a2ea-4499-9778-da042bf08063)
SHAREPOINTENTERPRISE (5dbe027f-2339-4123-9542-606e4d348a72)","Dynamics 365 Customer Service Insights for CE Plan (1412cdc1-d593-4ad1-9050-40c30ad0b023)
Dynamics 365 P1 (d56f3deb-50d8-465a-bedb-f079817ccac1)
Dynamics 365 Project Operations (69f07c66-bee4-4222-b051-195095efee5b)
Dynamics 365 Project Operations CDS (18fa3aba-b085-4105-87d7-55617b8585e6)
Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)
Flow for Dynamics 365 (b650d915-9886-424b-a08d-633cede56f57)
Flow for Dynamics 365 (7e6d7d78-73de-46ba-83b1-6d25117334ba)
Microsoft Dynamics 365 Customer Voice for Customer Engagement Plan (97f29a83-1a20-44ff-bf48-5e4ad11f3e51)
Microsoft Social Engagement Enterprise (03acaee3-9492-4f40-aed4-bcb6b32981b6)
Office for the web (e95bec33-7c88-4a70-8e19-b10bd9d0c014)
Power Apps for Dynamics 365 (0b03f40b-c404-40c3-8651-2aceb74365fa)
Project for Project Operations (0a05d977-a21a-45b2-91ce-61c240dbafa2)
Project Online Desktop Client (fafd7243-e5c1-4a3a-9e40-495efcb1d3c3)
Project Online Service (fe71d6c3-a2ea-4499-9778-da042bf08063)
SharePoint (Plan 2) (5dbe027f-2339-4123-9542-606e4d348a72)"
"CDS_CUSTOMER_INSIGHTS_TRIAL (94e5cbf6-d843-4ee8-a2ec-8b15eb52019e)
DYN365_CUSTOMER_INSIGHTS_ENGAGEMENT_INSIGHTS_BASE_TRIAL (e2bdea63-235e-44c6-9f5e-5b0e783f07dd)
DYN365_CUSTOMER_INSIGHTS_VIRAL (ed8e8769-94c5-4132-a3e7-7543b713d51f)
Forms_Pro_Customer_Insights (fe581650-cf61-4a09-8814-4bd77eca9cb5)","Common Data Service for Customer Insights Trial (94e5cbf6-d843-4ee8-a2ec-8b15eb52019e)
Dynamics 365 Customer Insights Engagement Insights Viral (e2bdea63-235e-44c6-9f5e-5b0e783f07dd)
Dynamics 365 Customer Insights Viral Plan (ed8e8769-94c5-4132-a3e7-7543b713d51f)
Microsoft Dynamics 365 Customer Voice for Customer Insights (fe581650-cf61-4a09-8814-4bd77eca9cb5)"
"CUSTOMER_VOICE_DYN365_VIRAL_TRIAL (dbe07046-af68-4861-a20d-1c8cbda9194f)
CCIBOTS_PRIVPREV_VIRAL (ce312d15-8fdf-44c0-9974-a25a177125ee)
DYN365_CS_MESSAGING_VIRAL_TRIAL (3bf52bdf-5226-4a97-829e-5cca9b3f3392)
DYN365_CS_ENTERPRISE_VIRAL_TRIAL (94fb67d3-465f-4d1f-a50a-952da079a564)
DYNB365_CSI_VIRAL_TRIAL (33f1466e-63a6-464c-bf6a-d1787928a56a)
DYN365_CS_VOICE_VIRAL_TRIAL (3de81e39-4ce1-47f7-a77f-8473d4eb6d7c)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)
POWER_APPS_DYN365_VIRAL_TRIAL (54b37829-818e-4e3c-a08a-3ea66ab9b45d)
POWER_AUTOMATE_DYN365_VIRAL_TRIAL (81d4ecb8-0481-42fb-8868-51536c5aceeb)","Customer Voice for Dynamics 365 vTrial (dbe07046-af68-4861-a20d-1c8cbda9194f)
Dynamics 365 AI for Customer Service Virtual Agents Viral (ce312d15-8fdf-44c0-9974-a25a177125ee)
Dynamics 365 Customer Service Digital Messaging vTrial (3bf52bdf-5226-4a97-829e-5cca9b3f3392)
Dynamics 365 Customer Service Enterprise vTrial (94fb67d3-465f-4d1f-a50a-952da079a564)
Dynamics 365 Customer Service Insights vTrial (33f1466e-63a6-464c-bf6a-d1787928a56a)
Dynamics 365 Customer Service Voice vTrial (3de81e39-4ce1-47f7-a77f-8473d4eb6d7c)
Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)
Power Apps for Dynamics 365 vTrial (54b37829-818e-4e3c-a08a-3ea66ab9b45d)
Power Automate for Dynamics 365 vTrial (81d4ecb8-0481-42fb-8868-51536c5aceeb)"
DYN365_AI_SERVICE_INSIGHTS (4ade5aa6-5959-4d2c-bf0a-f4c9e2cc00f2),Dynamics 365 AI for Customer Service Trial (4ade5aa6-5959-4d2c-bf0a-f4c9e2cc00f2)
"DYN365_CDS_FORMS_PRO (363430d1-e3f7-43bc-b07b-767b6bb95e4b)
FORMS_PRO (17efdd9f-c22c-4ad8-b48e-3b1f3ee1dc9a)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)
FORMS_PLAN_E5 (e212cbc7-0961-4c40-9825-01117710dcb1)
FLOW_FORMS_PRO (57a0746c-87b8-4405-9397-df365a9db793)","Common Data Service (363430d1-e3f7-43bc-b07b-767b6bb95e4b)
Dynamics 365 Customer Voice (17efdd9f-c22c-4ad8-b48e-3b1f3ee1dc9a)
Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)
Microsoft Forms (Plan E5) (e212cbc7-0961-4c40-9825-01117710dcb1)
Power Automate for Dynamics 365 Customer Voice (57a0746c-87b8-4405-9397-df365a9db793)"
"DYN365_CUSTOMER_SERVICE_PRO (6929f657-b31b-4947-b4ce-5066c3214f54)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)
SHAREPOINTWAC (e95bec33-7c88-4a70-8e19-b10bd9d0c014)
POWERAPPS_CUSTOMER_SERVICE_PRO (c507b04c-a905-4940-ada6-918891e6d3ad)
FLOW_CUSTOMER_SERVICE_PRO (0368fc9c-3721-437f-8b7d-3d0f888cdefc)
PROJECT_ESSENTIALS (1259157c-8581-4875-bca7-2ffb18c51bda)
SHAREPOINTENTERPRISE (5dbe027f-2339-4123-9542-606e4d348a72)","Dynamics 365 for Customer Service Pro (6929f657-b31b-4947-b4ce-5066c3214f54)
Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)
Office for the web (e95bec33-7c88-4a70-8e19-b10bd9d0c014)
Power Apps for Customer Service Pro (c507b04c-a905-4940-ada6-918891e6d3ad)
Power Automate for Customer Service Pro (0368fc9c-3721-437f-8b7d-3d0f888cdefc)
Project Online Essentials (1259157c-8581-4875-bca7-2ffb18c51bda)
SharePoint (Plan 2) (5dbe027f-2339-4123-9542-606e4d348a72)"
"Customer_Voice_Base (296820fe-dce5-40f4-a4f2-e14b8feef383)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)","Dynamics 365 Customer Voice Base Plan (296820fe-dce5-40f4-a4f2-e14b8feef383)
Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)"
"EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)
Forms_Pro_AddOn (90a816f6-de5f-49fd-963c-df490d73b7b5)","Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)
Microsoft Dynamics 365 Customer Voice Add-on (90a816f6-de5f-49fd-963c-df490d73b7b5)"
"CUSTOMER_VOICE_ADDON (e6e35e2d-2e7f-4e71-bc6f-2f40ed062f5d)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)","Dynamics Customer Voice Add-On (e6e35e2d-2e7f-4e71-bc6f-2f40ed062f5d)
Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)"
"CDS_FORM_PRO_USL (e9830cfd-e65d-49dc-84fb-7d56b9aa2c89)
Forms_Pro_USL (3ca0766a-643e-4304-af20-37f02726339b)
FLOW_FORMS_PRO (57a0746c-87b8-4405-9397-df365a9db793)","Common Data Service (e9830cfd-e65d-49dc-84fb-7d56b9aa2c89)
Microsoft Dynamics 365 Customer Voice USL (3ca0766a-643e-4304-af20-37f02726339b)
Power Automate for Dynamics 365 Customer Voice (57a0746c-87b8-4405-9397-df365a9db793)"
"EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)
CRM_ONLINE_PORTAL (1d4e9cb1-708d-449c-9f71-943aa8ed1d6a)","Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)
Microsoft Dynamics CRM Online - Portal Add-On (1d4e9cb1-708d-449c-9f71-943aa8ed1d6a)"
"CUSTOMER_VOICE_DYN365_VIRAL_TRIAL (dbe07046-af68-4861-a20d-1c8cbda9194f)
DYN365_FS_ENTERPRISE_VIRAL_TRIAL (20d1455b-72b2-4725-8354-a177845ab77d)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)
POWER_APPS_DYN365_VIRAL_TRIAL (54b37829-818e-4e3c-a08a-3ea66ab9b45d)
POWER_AUTOMATE_DYN365_VIRAL_TRIAL (81d4ecb8-0481-42fb-8868-51536c5aceeb)","Customer Voice for Dynamics 365 vTrial (dbe07046-af68-4861-a20d-1c8cbda9194f)
Dynamics 365 Field Service Enterprise vTrial (20d1455b-72b2-4725-8354-a177845ab77d)
Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)
Power Apps for Dynamics 365 vTrial (54b37829-818e-4e3c-a08a-3ea66ab9b45d)
Power Automate for Dynamics 365 vTrial (81d4ecb8-0481-42fb-8868-51536c5aceeb)"
"DYN365_CDS_FINANCE (e95d7060-d4d9-400a-a2bd-a244bf0b609e)
DYN365_REGULATORY_SERVICE (c7657ae3-c0b0-4eed-8c1d-6a7967bd9c65)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)
D365_Finance (9f0e1b4e-9b33-4300-b451-b2c662cd4ff7)
POWERAPPS_DYN_APPS (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)
FLOW_DYN_APPS (7e6d7d78-73de-46ba-83b1-6d25117334ba)","Common Data Service for Dynamics 365 Finance (e95d7060-d4d9-400a-a2bd-a244bf0b609e)
Dynamics 365 for Finance and Operations, Enterprise edition - Regulatory Service (c7657ae3-c0b0-4eed-8c1d-6a7967bd9c65)
Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)
Microsoft Dynamics 365 for Finance (9f0e1b4e-9b33-4300-b451-b2c662cd4ff7)
Power Apps for Dynamics 365 (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)
Power Automate for Dynamics 365 (7e6d7d78-73de-46ba-83b1-6d25117334ba)"
"DYN365_ENTERPRISE_CASE_MANAGEMENT (2822a3a1-9b8f-4432-8989-e11669a60dc8)
NBENTERPRISE (03acaee3-9492-4f40-aed4-bcb6b32981b6)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)
SHAREPOINTWAC (e95bec33-7c88-4a70-8e19-b10bd9d0c014)
PROJECT_ESSENTIALS (1259157c-8581-4875-bca7-2ffb18c51bda)
SHAREPOINTENTERPRISE (5dbe027f-2339-4123-9542-606e4d348a72)
POWERAPPS_DYN_APPS (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)
FLOW_DYN_APPS (7e6d7d78-73de-46ba-83b1-6d25117334ba)","Dynamics 365 for Case Management (2822a3a1-9b8f-4432-8989-e11669a60dc8)
Microsoft Social Engagement (03acaee3-9492-4f40-aed4-bcb6b32981b6)
Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)
Office for the Web (e95bec33-7c88-4a70-8e19-b10bd9d0c014)
Project Online Essentials (1259157c-8581-4875-bca7-2ffb18c51bda)
SharePoint (Plan 2) (5dbe027f-2339-4123-9542-606e4d348a72)
Power Apps for Dynamics 365 (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)
Power Automate for Dynamics 365 (7e6d7d78-73de-46ba-83b1-6d25117334ba)"
"D365_CSI_EMBED_CSEnterprise (5b1e5982-0e88-47bb-a95e-ae6085eda612)
DYN365_ENTERPRISE_CUSTOMER_SERVICE (99340b49-fb81-4b1e-976b-8f2ae8e9394f)
Forms_Pro_Service (67bf4812-f90b-4db9-97e7-c0bbbf7b2d09)
NBENTERPRISE (03acaee3-9492-4f40-aed4-bcb6b32981b6)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)
SHAREPOINTWAC (e95bec33-7c88-4a70-8e19-b10bd9d0c014)
PROJECT_ESSENTIALS (1259157c-8581-4875-bca7-2ffb18c51bda)
SHAREPOINTENTERPRISE (5dbe027f-2339-4123-9542-606e4d348a72)
POWERAPPS_DYN_APPS (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)
FLOW_DYN_APPS (7e6d7d78-73de-46ba-83b1-6d25117334ba)","Dynamics 365 Customer Service Insights for CS Enterprise (5b1e5982-0e88-47bb-a95e-ae6085eda612)
Dynamics 365 for Customer Service (99340b49-fb81-4b1e-976b-8f2ae8e9394f)
Microsoft Dynamics 365 Customer Voice for Customer Service Enterprise (67bf4812-f90b-4db9-97e7-c0bbbf7b2d09)
Microsoft Social Engagement (03acaee3-9492-4f40-aed4-bcb6b32981b6)
Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)
Office for the Web (e95bec33-7c88-4a70-8e19-b10bd9d0c014)
Project Online Essentials (1259157c-8581-4875-bca7-2ffb18c51bda)
SharePoint (Plan 2) (5dbe027f-2339-4123-9542-606e4d348a72)
Power Apps for Dynamics 365 (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)
Power Automate for Dynamics 365 (7e6d7d78-73de-46ba-83b1-6d25117334ba)"
"D365_FIELD_SERVICE_ATTACH (55c9148b-d5f0-4101-b5a0-b2727cfc0916)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)","Dynamics 365 for Field Service Attach (55c9148b-d5f0-4101-b5a0-b2727cfc0916)
Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)"
"DYN365_ENTERPRISE_FIELD_SERVICE (8c66ef8a-177f-4c0d-853c-d4f219331d09)
Forms_Pro_FS (9c439259-63b0-46cc-a258-72be4313a42d)
NBENTERPRISE (03acaee3-9492-4f40-aed4-bcb6b32981b6)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)
SHAREPOINTWAC (e95bec33-7c88-4a70-8e19-b10bd9d0c014)
PROJECT_ESSENTIALS (1259157c-8581-4875-bca7-2ffb18c51bda)
SHAREPOINTENTERPRISE (5dbe027f-2339-4123-9542-606e4d348a72)
POWERAPPS_DYN_APPS (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)
FLOW_DYN_APPS (7e6d7d78-73de-46ba-83b1-6d25117334ba)","Dynamics 365 for Field Service (8c66ef8a-177f-4c0d-853c-d4f219331d09)
Microsoft Dynamics 365 Customer Voice for Field Service (9c439259-63b0-46cc-a258-72be4313a42d)
Microsoft Social Engagement (03acaee3-9492-4f40-aed4-bcb6b32981b6)
Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)
Office for the Web (e95bec33-7c88-4a70-8e19-b10bd9d0c014)
Project Online Essentials (1259157c-8581-4875-bca7-2ffb18c51bda)
SharePoint (Plan 2) (5dbe027f-2339-4123-9542-606e4d348a72)
Power Apps for Dynamics 365 (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)
Power Automate for Dynamics 365 (7e6d7d78-73de-46ba-83b1-6d25117334ba)"
"DYN365_FINANCIALS_BUSINESS (920656a2-7dd8-4c83-97b6-a356414dbd36)
FLOW_DYN_APPS (7e6d7d78-73de-46ba-83b1-6d25117334ba)
POWERAPPS_DYN_APPS (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)","FLOW FOR DYNAMICS 365 (7e6d7d78-73de-46ba-83b1-6d25117334ba)
POWERAPPS FOR DYNAMICS 365 (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)
DYNAMICS 365 FOR FINANCIALS (920656a2-7dd8-4c83-97b6-a356414dbd36)"
